"","cluster","topic_rank_in_cluster","topic_in_cluster","title","abstract","doi","id","topic_probability_in_doc"
"11","cold_topic_cluster_no_1","rank_3","119","THE EFFECT OF PIRACY WEBSITE BLOCKING ON CONSUMER BEHAVIOR","In this study, we ask what drives the success or failure of various supply-side anti-piracy enforcement actions such as piracy website blocking. We do this in the context of three court-ordered events affecting consumers in the United Kingdom: We first study Internet Service Providers' blocking of 53 video piracy sites in 2014 and of 19 piracy sites in 2013, and we then study the blocking of a single dominant site, ""The Pirate Bay,"" in 2012. We show that blocking 53 sites in 2014 caused treated users to decrease piracy and to increase their usage of legal subscription sites between 7% and 12%. It also caused an increase in new paid subscriptions. We find similar results for the blocking of 19 piracy sites in 2013. However, blocking a single site in 2012 caused no increase in usage of legal sites but instead caused users to increase visits to other unblocked piracy sites and VPN sites. We find evidence that increased search and learning costs associated with piracy drive the effectiveness of blocking multiple sites rather than just one primary site. This suggests that to increase legal IP use when faced with a dominant piracy channel, the optimal policy response must block multiple channels of access to pirated content, a distinction that the current literature has not made clear.","10.25300/MISQ/2020/15791","10424","0.1409091"
"12","cold_topic_cluster_no_1","rank_3","119","The Digital Divide: A Comparison of Online Consumer Health Information for African-American and General Audiences","Objectives: We sought to assess the quality of health information on internet sites with missions to serve African Americans and to compare the quality to that of sites targeting a general audience. Methods: Sites were identified by entering ""black Health,"" ""African American health,"" and ""health"" into 2 search engines. Websites were assessed for quality and usability by 2 independent readers using published criteria. Results: Disease-specific information was found on 64.7% of African-American sites and 86.2% of general sites. Among these sites, 730 of African-American sites listed authors' qualifications, compared to 960 of general sites (p=0.04). Sixty-four percent of African-American sites provided date last updated; compared with 100% of general sites (p=0.001). The mean literacy level for both types of sites was similar to 10th grade. The literacy level of African-American sites at governmental and educational domains was lower (NS). Conclusions: This is the first study to examine critically the quality of health information on Internet sites serving African-American audiences. Our study suggests methods to guide healthcare providers and health educators in counseling patients regarding internet-based health information. The ""digital divide"" is about quality as well as access.","10.1016/S0027-9684(15)31513-3","85026","0.1426966"
"13","cold_topic_cluster_no_1","rank_3","119","Search Engine Optimization: An Analysis of Rhinoplasty Web sites","The Internet is the primary source of information for facial plastic surgery patients. Most patients only analyze information in the first 10 Web sites retrieved. The aim of this study was to determine factors critical for improving Web site traffic and search engine optimization. A Google search of ""rhinoplasty"" was performed in Michigan. The first 20 distinct Web sites originating from private sources were included. Private was defined as personal Web sites for private practice physicians. The Web sites were evaluated using SEOquake and WooRANK, publicly available programs that analyze Web sites. Factors examined included the presence of social media, the number of distinct pages on the Web site, the traffic to the Web site, use of keywords, such as rhinoplasty in the heading and meta description, average visit duration, traffic coming from search, bounce rate, and the number of advertisements. Readability and Web site quality were also analyzed using the DISCERN and Health on the Net Foundation code principles. The first 10 Web sites were compared with the latter 10 Web sites using Student's t-tests. The first 10 Web sites received a significantly lower portion of traffic from search engines than the second 10 Web sites. The first 10 Web sites also had significantly fewer tags of the keyword ""nose"" in the meta description of the Web site. The first 10 Web sites were significantly more reliable according to the DISCERN instrument, scoring an average of 2.42 compared with 2.05 for the second 10 Web sites (p=0.029). Search engine optimization is critical for facial plastic surgeons as it improves online presence. This may potentially result in increased traffic and an increase in patient visits. However, Web sites that rely too heavily on search engines for traffic are less likely to be in the top 10 search results. Web site curators should maintain a wide focus for obtaining Web site traffic, possibly including advertising and publishing information in third party sources such as ""RealSelf.""","10.1055/s-0037-1607973","42996","0.1451389"
"14","cold_topic_cluster_no_1","rank_3","119","The World Heritage list: Which sites promote the brand? A big data spatial econometrics approach","UNESCO's World Heritage Convention encourages inscribed sites to promote the World Heritage brand by clearly communicating their affiliation. Based on the feedback from over 319,000 visitors at 791 locations, we create an index that shows the extent to which World Heritage sites are actually branding themselves as such. We find great heterogeneity throughout the list and explain this econometrically with site-specific incentives. Notably, the sites that benefit more from the World Heritage brand are significantly more willing to contribute to the collective brand than sites that benefit less. Specifically, rural sites are much better branded than urban sites, as rural sites benefit more from the brand than urban sites. We also find a positive relationship between World Heritage branding and its conservation status and a U-shaped relationship between a site's visitor numbers and its branding. Furthermore, Asian sites are much better branded than sites in the Middle East, and richer countries and those with already more international tourists are branded less. The difficulty of effective branding, e.g., for large, open-access sites, has no significant effect. Our findings suggest that mandatory World Heritage branding obligations would have a positive effect on the World Heritage brand equity, bringing conservation and economic benefits to a much wider range of World Heritage sites.","10.1007/s10824-016-9266-9","48583","0.1473684"
"15","cold_topic_cluster_no_1","rank_3","119","Quality of arthritis information on the Internet","Purpose. The quality and reliability of Internet-based arthritis information were studied. Methods. The search terms ""arthritis,"" ""osteoarthritis,"" and ""rheumatoid arthritis"" were entered into the AOL, MSN, Yahoo, Google, and Lycos search engines. The Web sites for the first 40 matches generated by each search engine were grouped by URL suffix and evaluated on the basis of four categories of criteria: disease and medication information content, Web-site navigability, required literacy level, and currentness of information. Ratings were assigned by using an assessment tool derived from published literature (maximum score of 15 points). Results. Of the 600 arthritis Web sites identified, only 69 were unique and included in the analysis. Fifty-seven percent were .com sites, 20% .org sites, 7% .gov sites, 6% .edu sites, and 10% other sites. Total scores for individual sites reviewed ranged from 3 to 14. Eighty percent of .gov sites, 75% of .edu sites, 29% of other sites, 36% of .com sites, and 21% of .org sites were within the top tertile of scores. No Web site met the criterion for being understandable to people with no more than a sixth-grade reading ability. .Gov sites scored significantly higher overall than .com sites, .org sites, and other sites. .Edu sites also scored relatively well. Conclusion. The quality of arthritis information on the Internet varied widely. Sites with URLs having suffixes of .gov and .edu were ranked higher than other types of sites.","10.1093/ajhp/62.11.1184","88482","0.2520000"
"16","cold_topic_cluster_no_1","rank_4","794","A MAPPING OF CHANGES IN CORAL REEFS CONDITION BASED ON DEVELOPMENT THE MARINE ECOTOURISM IN THE SOUTHERN PART COAST OF PADANG CITY - INDONESIA","This study aims to determine changes in the condition of coral reef ecosystems using satellite imagery. The research method used is the Geographic Information System (GIS) approach using Lyzenga algorithm method with data of Landsat +ETM 7 in 1998, 2008 and Landsat OLI 8 in 2018. The results of this study indicate a decrease in the extent of coral reef conditions in 1998-2008 occurs in live coral cover covering 106.60 ha and the addition of area occurred in dead coral cover covering 147.97 ha. While the decrease of coral reefs condition in 2008-2018 occurs in dead coral cover covering 29.66 ha and the addition of area occurred in live coral cover covering 112.29 ha. Coral mortality index in Nirwana beach with an average 62.28 %, meaning very large coral deaths in this region. Coral mortality index in Cindakir estuary with an average 46.60 %, meaning quite large coral deaths in this region so that coral reefs need to be rehabilitated in these waters, which can be done in form of artificial coral transplants. The coral mortality index in Muara Dua bay average 39 %, meaning that coral mortality is quite large in this region, while the coral mortality index in Ujung Siboko bay average 44.65 %, this means quite a large number of coral deaths in this region, but this location has a very good soft coral and it is necessary to rehabilitate corals in these waters with the form of artificial coral transplants.","10.21660/2020.76.ICGeo4"," 1419","0.2719101"
"17","cold_topic_cluster_no_1","rank_4","794","High Latitude Corals Tolerate Severe Cold Spell","Climatically extreme weather events often drive long-term ecological responses of ecosystems. By disrupting the important symbiosis with zooxanthellae, Marine Cold Spells (MCS) can cause bleaching and mortality in tropical and subtropical scleractinian corals. Here we report on the effects of a severe MCS on high latitude corals, where we expected to find bleaching and mortality. The MCS took place off the coast of Perth (32 degrees S), Western Australia in 2016. Bleaching was assessed before (2014) and after (2017) the MCS from surveys of permanent plots, and with timed bleaching searches. Temperature data was recorded with in situ loggers. During the MCS temperatures dipped to the coldest recorded in ten years (15.3 degrees C) and periods of < 17 degrees C lasted for up to 19 days. Only 4.3% of the surveyed coral colonies showed signs of bleaching. Bleaching was observed in 8 species where those most affected were Plesiastrea versipora and Montipora mollis. These findings suggest that high latitude corals in this area are tolerant of cold stress and are not persisting near a lethal temperature minimum. It has not been established whether other environmental conditions are limiting these species, and if so, what the implications are for coral performance on these reefs in a warmer future.","10.3389/fmars.2018.00014","40177","0.2755319"
"18","cold_topic_cluster_no_1","rank_4","794","Detecting coral bleaching, using QuickBird multi-temporal data: A feasibility study at Kish Island, the Persian Gulf","Coral bleaching events have become more frequent and intense worldwide and speculated to be a severe threat for coral survival in future. The Persian Gulf, as one of the warmest seas, has also experienced coral mortalities and bleaching events. Historically, bleaching events are known to occur south of the Persian Gulf, such information is scarce in the northern side. Perhaps remoteness and inaccessibility to Iran main coral communities which have developed on offshore islands can explain such lack of data. To address this issue, the feasibility of using multi-temporal satellite images for detecting past bleaching events were investigated. Two QuickBird images (2005, 2008) were selected to detect 2007 bleaching event at Kish Island, Iran, and the accuracy of results were compared to in situ observations. Current study might represent ""algae-challenged"" scenario in terms of having 7 months' time lapse between bleaching event and post-bleaching satellite image. As a result of this, we had algae-covered corals instead of white bleached corals. In the proposed procedure pre and post-bleaching images were classified, and changes in reflectance values within coral classes were interpreted as bleaching areas. By using this method we could eliminate the effect of miss-classification between bleached corals and sand; as well as algae-covered corals and live corals. Furthermore, it is not necessary to have a post-bleaching image acquired during bleaching events, although having such image will increase the accuracy. The proposed technique detected similar to 28% of bleached corals and the results support the idea that coral bleaching can be distinguished by detecting the changes in reflectance values in pre and post-bleaching images. Understanding the occurrence, severity, and extent of past bleaching events may help us understand the population dynamics of Iran corals and reveal coral connectivity patterns in the Persian Gulf. ","10.1016/j.ecss.2012.12.006","75401","0.2789855"
"19","cold_topic_cluster_no_1","rank_4","794","The potential for self-seeding by the coral Pocillopora spp. in Moorea, French Polynesia","Coral reefs in Moorea, French Polynesia, suffered catastrophic coral mortality through predation by Acanthaster planci from 2006 to 2010, and Cyclone Oli in 2010, yet by 2015 some coral populations were approaching pre-disturbance sizes. Using long-term study plots, we quantified population dynamics of spawning Pocillopora spp. along the north shore of Moorea between 2010 and 2014, and considered evidence that population recovery could be supported by self-seeding. Results scaled up from study plots and settlement tiles suggest that the number of Pocillopora spp. colonies on the outer reef increased 1,890-fold between 2010 and 2014/2015, and in the back reef, 8-fold between 2010 and 2014/2015. Assuming that spawning Pocillopora spp. in Moorea release similar numbers of eggs as con-generics in Hawaii, and fertilization success is similar to other spawning corals, the capacity of Pocillopora spp. to produce larvae was estimated. These estimates suggest that Pocillopora spp. in Moorea produced a large excess of larvae in 2010 and 2014 relative to the number required to produce the recruits found in the back reef and outer reef in 2010 and 2014, even assuming that similar to 99.9% of the larvae do not recruit in Moorea. Less than a third of the recruits in one year would have to survive to produce the juvenile Pocillopora spp. found in the back and outer reefs in 2010 and 2014/2015. Our first order approximations reveal the potential for Pocillopora spp. on the north shore of Moorea to produce enough larvae to support local recruitment and population recovery following a catastrophic disturbance.","10.7717/peerj.2544","56445","0.2814815"
"20","cold_topic_cluster_no_1","rank_4","794","Holocene key coral species in the Northwest Pacific: indicators of reef formation and reef ecosystem responses to global climate change and anthropogenic stresses in the near future","The geological record of key coral species that contribute to reef formation and maintenance of reef ecosystems is important for understanding the ecosystem response to global-scale climate change and anthropogenic stresses in the near future. Future responses can be predicted from accumulated data on Holocene reef species identified in drillcore and from data on raised reef terraces. The present study analyzes a dataset based on 27 drillcores, raised reef terraces, and 134 radiocarbon and U-Th ages from reefs of the Northwest Pacific, with the aim of examining the role of key coral species in reef growth and maintenance for reef ecosystem during Holocene sea-level change. The results indicate a latitudinal change in key coral species: arborescent Acropora (Acropora intermedia and Acropora muricata) was the dominant reef builder at reef crests in the tropics, whereas Porites (Porites australiensis, Porites lutea, and Porites lobata) was the dominant contributor to reef growth in the subtropics between 10,000 and 7000 cal. years BP (when the rate of sea-level rise was 10 m/ka). Acropora digitifera, Acropora hyacinthus, Acropora robusta/A. abrotanoides, Isopora palifera, Favia stelligera, and Goniastrea retiformis from the corymbose and tabular Acropora facies were the main key coral species at reef crests between 7000 and 5000 cal. years BP (when the rate of sea-level rise was 5 m/ka) and during the following period of stable sea-level. Massive Porites (P australiensis, P. lutea, and P. lobata) contributed to reef growth in shallow lagoons during the period of stable sea level. Key coral species from the corymbose and tabular Acropora facies have the potential to build reefs and maintain ecosystems in the near future under a global sea-level rise of 2-6 m/ka, as do key coral species from the arborescent Acropora fades and massive Porites facies, which show vigorous growth and are tolerant to relatively deep-water, low-energy environments. However, these species are likely to experience severe mortality in upcoming decades due to natural and anthropogenic stresses. Consequently, this damage will lead to a collapse in reef formation and the maintenance of reef ecosystems in the near future. This study emphasizes the need for research into the conservation of key coral species. ","10.1016/j.quascirev.2012.01.011","77896","0.2856287"
"21","cold_topic_cluster_no_1","rank_5","24","Impact of reservoirs on zooplankton diversity and implications for the conservation of natural aquatic environments","Reservoirs are intermediate ecosystems between rivers and lakes. These ecosystems break up the landscape by forming artificial lakes connected by rivers and change important ecological processes of lotic ecosystems (e.g. organic matter production and nutrient cycling) and thus have direct effects on aquatic biodiversity. We test the hypothesis that damming water courses exerts a negative effect on the zooplankton community by decreasing the alpha diversity. Samplings were conducted in 30 reservoirs and 29 natural lakes in the Neotropics, during two hydrological periods (dry and rainy) in 2001. The study analysed differences in alpha diversity, the number of rare, accessory and constant species, and species composition between the types of lakes. Alpha diversity was significantly higher in natural lakes and species composition differed between natural lakes and reservoirs. Zooplankton alpha diversity was positively related to total phosphorus (best model), indicating that productive environments (natural lakes) gather more species. Our results suggest that reservoirs have negative effect on community structure, whereas natural lakes have an important ecological function for biodiversity conservation because they are refuges for biodiversity.","10.1007/s10750-015-2260-y","63795","0.2056818"
"22","cold_topic_cluster_no_1","rank_5","24","Local-global overlap in diversity informs mechanisms of bacterial biogeography","Spatial variation in environmental conditions and barriers to organism movement are thought to be important factors for generating endemic species, thus enhancing global diversity. Recent microbial ecology research suggested that the entire diversity of bacteria in the global oceans could be recovered at a single site, thus inferring a lack of bacterial endemism. We argue this is not the case in the global ocean, but might be in other bacterial ecosystems with higher dispersal rates and lower global diversity, like the human gut. We quantified the degree to which local and global bacterial diversity overlap in a diverse set of ecosystems. Upon comparison of observed local-global diversity overlap with predictions from a neutral biogeography model, human-associated microbiomes (gut, skin, mouth) behaved much closer to neutral expectations whereas soil, lake and marine communities deviated strongly from the neutral expectations. This is likely a result of differences in dispersal rate among 'patches', global diversity of these systems, and local densities of bacterial cells. It appears that overlap of local and global bacterial diversity is surprisingly large (but likely not one-hundred percent), and most importantly this overlap appears to be predictable based upon traditional biogeographic parameters like community size, global diversity, inter-patch environmental heterogeneity and patch connectivity.","10.1038/ismej.2015.51","63313","0.2072072"
"23","cold_topic_cluster_no_1","rank_5","24","Comparison of plant species diversity with different plant communities in deciduous forests","Species diversity is one of the most important indices used for evaluating the sustainability of forest communities. This study aims to characterize the forest communities and to identify and compare the plant species diversity in the study area. For this purpose, 152 releves were sampled by a randomized-systematic method, using the Braun-Blanquet scale. Classification of the vegetation was conducted by the twinspan algorithm. Four communities, including Querco-Carpinetum betulii, Carpineto-Fagetum Oriental, Rusco-Fagetum Oriental and Fagetum Oriental were recognized. Species richness, Shannon, and Simpson indices were applied to quantify diversity of the different communities. Turkey test was used to investigate the differences in the species richness, diversity and evenness indices among the different communities. The results illustrate that Querco-Carpinetum betulii and Carpineto-Fagetum Oriental communities are significantly more diverse than Rusco-Fagetum Oriental and Fagetum Oriental communities. The spatial structure of the releves becomes more 'homogenous' and the dominance structure changes: the proportion of beech-forest species is gradually increasing. At the same time, the number of species per unit area decreases constantly, reaching eventually the value comparable to that recorded for hornbeam forest. Generally, species diversity is inversely correlated with the dominance of shade tolerant climax species.","10.1007/BF03326077","84019","0.2275862"
"24","cold_topic_cluster_no_1","rank_5","24","Diversity of river fishes influenced by habitat heterogeneity across hydrogeomorphic divisions","Freshwater fish communities are structured through complex interactions among multiple spatial scales. Efforts to conserve and rehabilitate fish communities in riverine systems can benefit from an understanding of how processes across spatial scales influence species diversity patterns. We assessed species diversity at different hierarchical spatial scales and changes in species composition along the longitudinal gradient of the Niobrara River basin, Great Plains, USA. We assessed the contribution of - and -diversity components to -diversity at five spatial scales (i.e., mesohabitat, site, reach, segment, and river) using an additive partitioning approach. The observed mean -diversity was significantly greater than expected at the site, reach, and segment spatial scales. The most significant difference between expected and observed -diversity occurred at the segment spatial scale and suggests differences in community structure along the Niobrara River. Additive partitioning of diversity components provided a framework with which to assess patterns at multiple hierarchical levels. Our results suggest that changes in channel geomorphic and hydrologic conditions provide the impetus for species sorting resulting in unique fish assemblages along the Niobrara River. Conservation of species diversity for Great Plains fishes and other similar systems will likely benefit from considering species filtering processes at multiple spatial scales and maintaining intact hydrologic regimes across unique geomorphic boundaries.","10.1002/rra.3306","35297","0.2330357"
